depth,phi,theta
4669,25701,5239
4598,25497,5228
4533,25298,5223
4493,25077,5217
4686,25825,5235
4644,25622,5227
4571,25426,5227
4520,25209,5226
4719,25949,5229
4678,25749,5227
4619,25555,5232
4558,25342,5236
4747,26072,5225
4696,25875,5227
4662,25684,5236
4602,25474,5244
4776,26196,5220
4745,26000,5226
4698,25813,5240
4641,25607,5253
4823,26319,5215
4774,26127,5226
4741,25942,5244
4688,25740,5262
4836,26442,5210
4804,26252,5226
4761,26071,5249
4730,25873,5271
4670,26565,5205
4844,9244,5226
4809,26200,5253
4777,26007,5281
4428,26688,5201
4802,26504,5226
4852,26330,5257
4831,26140,5289
4200,26810,5196
4529,26630,5226
4873,26459,5262
4870,26274,5299
4025,26932,5191
4301,26755,5226
4651,26588,5266
4909,26407,5307
3973,27055,5187
4096,26881,5226
4380,26718,5270
4724,26541,5316
4007,27176,5183
3995,27006,5226
4175,26847,5274
4487,26676,5325
4045,27298,5178
4034,27132,5226
4029,26976,5279
4244,26809,5334
4067,27420,5174
4071,27257,5226
4069,27106,5284
4080,26944,5343
4106,27541,5169
4105,27383,5226
4113,27236,5288
4110,27078,5352
4138,27662,5165
4144,27507,5227
4143,27366,5292
4157,27212,5361
4184,27783,5161
4178,27633,5227
4190,27495,5297
4211,27348,5370
4211,27904,5157
4225,27758,5227
4217,27625,5302
4262,27482,5378
5361,28025,5153
4277,27883,5227
4297,27755,5306
4299,27617,5387
5418,28145,5149
5458,28009,5228
4353,27884,5310
4369,27752,5396
5480,28266,5145
5486,28133,5229
5577,28014,5314
5452,27887,5404
5524,28386,5142
5554,28258,5229
5609,28145,5319
5497,28022,5413
4267,28506,5138
4352,28384,5230
5684,28274,5323
5546,28158,5422
5634,28626,5135
4332,28508,5230
4398,28405,5328
4464,28293,5430
5662,28746,5132
5744,28633,5231
5808,28534,5333
5658,28428,5438
5745,28866,5128
5813,28759,5232
5881,28664,5337
5705,28564,5447
5799,28985,5125
5884,28883,5233
5944,28795,5342
5772,28699,5455
5849,29105,5122
5958,29008,5234
6039,28925,5346
5854,28836,5463
5916,29224,5119
6027,29133,5235
6116,29055,5351
5949,28971,5471
5967,29343,5116
6100,29258,5235
6206,29185,5355
6041,29107,5479
6026,29463,5114
6178,29382,5237
6311,29316,5359
6130,29244,5487
6118,29582,5111
6262,29507,5238
2560,29446,5364
2574,29379,5495
2481,29701,5108
2476,29632,5239
2553,29576,5369
2622,29516,5503
2420,29820,5107
2499,29757,5241
2566,29706,5373
2654,29652,5511
2457,29939,5104
2524,29882,5242
2614,29838,5378
2700,29788,5519
2490,30058,5103
2565,30006,5243
2645,29968,5382
6274,29924,5526
2513,30176,5101
2589,30131,5245
6129,30098,5387
6137,30060,5533
2538,30295,5099
6059,30256,5246
6049,30228,5391
6079,30197,5541
5970,30413,5097
5961,30381,5248
5928,30359,5395
6183,30333,5548
5114,30532,5096
5867,30506,5250
6002,30490,5400
7381,30470,5555
5216,30651,5095
5813,30630,5252
6099,30621,5405
7607,30606,5562
5614,30769,5094
5906,30756,5254
7439,30751,5409
7777,30743,5570
5726,30887,5093
5987,30880,5255
7559,30882,5413
7939,30879,5576
5779,31005,5092
7306,31005,5257
7689,31012,5417
8093,31016,5583
5852,31124,5091
5717,31129,5260
7821,31143,5422
8260,31152,5590
7112,31242,5091
5878,31254,5261
7918,31274,5427
8444,31289,5597
7208,31361,5091
7600,31379,5264
8056,31405,5431
8464,31426,5604
7251,31479,5091
7694,31505,5267
8200,31536,5435
8368,31563,5609
7363,31598,5091
7819,31629,5269
6448,31666,5440
8258,31699,5616
7452,31715,5091
7926,31754,5271
6651,31797,5444
8183,31836,5622
7546,31834,5091
8057,31879,5273
8159,31928,5448
8077,31972,5628
7630,31952,5092
8125,32003,5276
8087,32059,5452
8008,32110,5634
7743,32070,5093
8115,32129,5279
8012,32190,5457
7914,32246,5640
7826,32190,5094
8044,32254,5282
7949,32321,5461
8144,32383,5646
7917,32308,5095
7990,32379,5285
7881,32452,5465
10032,32519,5651
7996,32426,5096
7919,32504,5287
7876,32582,5469
10246,32656,5656
8000,32544,5098
7850,32629,5290
7966,32714,5474
10448,32792,5661
7953,32663,5099
7833,32754,5293
8058,32844,5478
10499,32929,5667
7938,32782,5101
7768,32880,5297
9850,32975,5481
10468,33066,5672
3607,32901,5104
3692,33006,5300
10040,33107,5486
10411,33203,5677
3561,33020,5106
3707,33131,5303
0,33238,5490
10450,33339,5682
3611,33139,5108
7882,33256,5306
10341,33369,5494
10292,33475,5687
7751,33257,5110
7929,33381,5310
10369,33499,5498
10271,33611,5691
7274,33377,5113
8126,33506,5313
10360,33631,5502
10229,33748,5695
7502,33496,5116
8245,33632,5317
9168,33761,5506
0,33885,5700
7575,33615,5119
8371,33758,5321
9421,33893,5510
5033,34021,5704
7711,33736,5123
10038,33884,5325
10245,34024,5515
5008,34157,5708
7826,33855,5126
10262,34010,5329
10214,34155,5518
5040,34294,5712
0,33974,5130
10298,34135,5332
10215,34285,5521
5113,34429,5716
9623,34094,5133
10283,34261,5335
10200,34417,5526
7625,34565,5719
9669,34214,5137
10288,34386,5339
10239,34548,5529
7640,34702,5723
9797,34334,5141
10274,34513,5344
10254,34679,5533
12834,34838,5726
9944,34454,5146
10268,34639,5348
5037,34810,5537
12835,34974,5730
10041,34575,5151
10273,34765,5353
5034,34942,5541
12846,35110,5733
10197,34696,5155
10253,34892,5357
5027,35073,5544
12857,35244,5736
10305,34815,5160
10293,35017,5361
5077,35202,5547
12874,35381,5739
9007,34936,5165
10272,35143,5365
5085,35334,5551
11471,35516,5741
10381,35058,5170
10294,35270,5369
5144,35465,5555
10309,35651,5744
10364,35179,5175
10323,35397,5374
7751,35596,5559
9271,35788,5747
10433,35301,5181
10354,35524,5379
7777,35728,5562
8462,35923,5750
10435,35423,5187
9994,35650,5384
7808,35859,5566
7813,59,5752
10418,35545,5193
9124,35777,5389
7863,35988,5569
7233,192,5753
9616,35665,5198
8447,35903,5393
7451,120,5572
6751,328,5755
8922,35787,5204
7871,30,5397
6986,251,5575
6319,463,5757
8183,35910,5211
7268,157,5402
6518,382,5579
5909,597,5759
7773,33,5217
6817,285,5408
6133,513,5582
5578,734,5761
7258,156,5224
6454,412,5412
5797,644,5586
5290,868,5762
6835,280,5231
6073,539,5417
5474,775,5589
5024,1002,5764
6465,401,5237
5733,665,5422
5178,905,5592
4787,1135,5765
6110,525,5245
5446,792,5427
4948,1036,5595
4570,1270,5765
5798,649,5252
5230,920,5433
4745,1166,5598
4400,1404,5767
5516,773,5259
4976,1048,5437
4542,1298,5601
4272,1539,5768
5248,898,5267
4710,1176,5443
4361,1429,5604
4193,1674,5769
5011,1022,5275
4543,1304,5449
4195,1559,5607
14531,1807,5769
4827,1147,5283
4389,1432,5454
4046,1689,5610
14679,1940,5769
4637,1271,5290
4218,1559,5459
3920,1820,5613
14860,2073,5770
4434,1396,5298
4068,1688,5465
3812,1951,5616
15059,2207,5770
4261,1521,5306
3931,1816,5470
3764,2081,5618
15244,2340,5770
4137,1647,5314
3791,1944,5476
15142,2213,5622
15071,2474,5771
4000,1774,5323
3678,2073,5481
15307,2344,5624
14901,2607,5771
3869,1899,5332
3579,2201,5487
14973,2474,5627
15930,2740,5770
3743,2025,5340
3501,2329,5492
14484,2604,5630
16169,2872,5770
3617,2152,5348
3465,2457,5497
14102,2735,5632
16427,3005,5770
3532,2278,5357
12408,2587,5503
13754,2865,5635
2912,3138,5769
3428,2406,5366
12573,2715,5509
13275,2996,5638
2865,3270,5768
3347,2533,5375
12718,2845,5515
2930,3127,5641
2800,3403,5768
3285,2661,5384
12934,2973,5521
2884,3257,5643
2746,3535,5767
3244,2788,5394
2952,3103,5527
2820,3387,5646
2690,3666,5766
3208,2916,5403
2920,3231,5532
2776,3517,5648
2640,3798,5766
13137,3044,5412
2859,3361,5538
2716,3647,5650
2600,3930,5764
2939,3172,5422
2793,3490,5544
2667,3778,5653
2550,4061,5763
2889,3302,5431
2740,3619,5550
2617,3908,5655
2511,4193,5762
2835,3431,5441
2688,3749,5556
2565,4039,5658
2476,4324,5761
2776,3560,5451
2639,3879,5562
2537,4169,5660
2440,4455,5760
2725,3689,5460
2597,4008,5568
2496,4298,5662
2399,4585,5757
2670,3819,5470
2552,4138,5573
2456,4429,5664
2372,4715,5756
2626,3949,5479
2517,4268,5579
2429,4558,5666
2339,4847,5754
2580,4078,5489
2478,4398,5585
2391,4688,5668
2357,4977,5752
2537,4210,5500
2438,4529,5591
2351,4820,5671
2560,5107,5751
2503,4341,5509
2404,4659,5597
2344,4949,5673
2622,5238,5750
2464,4471,5519
2377,4790,5603
2434,5079,5675
2711,5368,5748
2435,4601,5529
2350,4919,5609
2604,5208,5676
2752,5496,5745
2394,4733,5539
2368,5049,5615
2690,5338,5679
2731,5626,5743
2352,4864,5549
2586,5179,5620
2748,5468,5681
2992,5756,5741
2360,4996,5559
2661,5311,5627
2746,5597,5682
3131,5885,5739
2529,5128,5570
2745,5442,5633
2813,5728,5685
3267,6014,5737
2628,5261,5580
2746,5572,5639
3107,5858,5687
3362,6143,5734
2728,5393,5590
2736,5704,5645
3232,5987,5689
11821,6272,5732
2773,5526,5600
3075,5835,5651
3344,6116,5690
12100,6399,5730
2737,5657,5610
3196,5964,5656
11733,6246,5692
11861,6528,5727
3060,5791,5620
3329,6095,5662
11920,6375,5694
11613,6656,5724
3154,5924,5630
11619,6227,5668
11715,6504,5695
9504,6784,5722
3307,6057,5640
11833,6358,5674
9580,6634,5697
9376,6912,5719
3372,6191,5651
2019,6489,5679
9452,6763,5699
8541,7039,5717
11807,6325,5661
9562,6621,5686
9314,6892,5700
9067,7167,5714
11705,6459,5670
9434,6752,5691
9132,7022,5702
8317,7295,5712
9611,6594,5681
9338,6884,5697
