depth,phi,theta
3051,29333,8194
2928,29207,8318
2811,29086,8446
2707,28948,8584
3052,29460,8193
2927,29337,8319
2816,29216,8449
2691,29083,8590
3045,29588,8192
2919,29466,8321
2804,29349,8453
2713,29217,8596
2865,29716,8191
2922,29596,8322
2795,29483,8457
2688,29355,8603
2726,29844,8190
2876,29728,8324
2795,29615,8461
2682,29490,8609
2690,29972,8189
2751,29857,8325
2797,29748,8464
2679,29625,8615
2844,30099,8188
2619,29988,8327
2799,29880,8468
2684,29761,8620
2795,30226,8188
2688,30116,8329
2600,30013,8472
2688,29895,8626
2707,30352,8187
2761,30246,8330
2327,30145,8475
2685,30031,8632
2631,30479,8186
2489,30376,8332
2301,30277,8479
2394,30167,8637
2562,30607,8187
2437,30507,8334
2347,30412,8483
2316,30305,8643
2500,30734,8187
2447,30637,8336
2371,30544,8486
2221,30441,8649
2444,30861,8187
2471,30767,8338
2360,30678,8490
2219,30576,8654
2374,30988,8187
2443,30897,8340
2366,30811,8494
2224,30713,8659
2331,31112,8187
2380,31025,8342
2376,30943,8497
2242,30848,8664
2342,31240,8188
2373,31154,8344
2393,31075,8500
2255,30985,8669
2347,31365,8188
2359,31285,8346
2384,31208,8504
2267,31123,8674
2396,31492,8189
2435,31415,8349
2457,31343,8508
2287,31259,8679
2481,31619,8190
2509,31544,8351
2535,31476,8511
2558,31396,8684
2557,31745,8191
2580,31675,8354
2614,31608,8515
2716,31533,8688
3161,31872,8192
2405,31804,8356
2437,31741,8518
2476,31669,8693
2685,31996,8193
2741,31933,8358
2944,31875,8522
2926,31806,8697
2649,32123,8195
2695,32062,8361
2737,32007,8525
2794,31944,8701
2619,32248,8196
2663,32192,8363
2709,32142,8529
2764,32082,8706
2643,6829,8198
2634,32323,8366
2676,32274,8532
2723,32219,8710
2691,32501,8200
2612,32451,8369
2653,32408,8535
2691,32355,8714
2664,32627,8202
2581,32582,8372
2625,32541,8538
2659,32493,8717
0,32752,8205
2579,32710,8374
2602,32674,8542
2636,32630,8721
2867,32877,8207
2655,32840,8377
2585,32807,8545
2611,32767,8724
2936,33003,8209
2719,32969,8380
2551,32941,8548
2593,32905,8728
3005,33128,8212
2766,33099,8384
2543,33075,8552
2574,33043,8731
3076,33255,8215
2828,33228,8387
2609,33208,8555
2679,33181,8735
3085,33380,8218
2870,33359,8390
2650,33341,8558
2625,33319,8738
3062,33506,8221
3028,33487,8393
2744,33476,8561
2593,33456,8741
3019,33630,8224
3007,33617,8396
2822,33609,8564
2575,33594,8743
2562,33756,8228
3045,33746,8399
2861,33742,8567
2693,33732,8746
2472,33881,8231
3044,33876,8403
2940,33876,8570
2745,33871,8749
2452,34007,8235
2948,34006,8406
3009,34009,8573
2839,34008,8751
2454,34133,8239
2534,34135,8410
3024,34143,8576
1465,34146,8754
2625,34258,8243
2470,34266,8414
3039,34277,8579
1493,34285,8756
2630,34383,8246
2507,34395,8417
2582,34410,8582
3038,34422,8758
2558,34508,8251
2565,34524,8421
2481,34545,8585
3052,34560,8760
2660,34634,8255
2573,34653,8424
2499,34677,8588
3005,34699,8762
2880,34759,8260
2581,34783,8428
2569,34811,8590
2514,34836,8763
2968,34886,8265
2594,34913,8432
2760,34945,8593
2501,34974,8765
2961,35010,8269
2791,35043,8436
2483,35079,8596
2514,35113,8767
2937,35135,8274
2459,35172,8440
2497,35213,8599
2509,35250,8768
2442,35262,8280
2478,35303,8444
2487,35346,8601
2509,35389,8769
2472,35387,8284
2476,35432,8448
2487,35481,8604
2509,35527,8770
2465,35513,8290
2476,35561,8452
2485,35615,8607
2533,35666,8771
2465,35638,8295
2476,35692,8456
2499,35748,8609
2774,35804,8772
2465,35765,8301
2478,35821,8460
2986,35882,8612
2803,35941,8773
2462,35890,8307
2806,35951,8464
3032,16,8614
2842,81,8774
2529,15,8313
3039,81,8468
2996,151,8617
2959,220,8774
3025,142,8319
2891,212,8473
2948,284,8619
2956,357,8774
2899,269,8325
2921,341,8477
2934,419,8622
2974,495,8775
2909,394,8331
2914,471,8481
2955,552,8624
3034,632,8775
2905,519,8338
2935,600,8485
2963,686,8626
3017,771,8775
2937,645,8344
2950,731,8490
3003,819,8628
3029,909,8775
2933,771,8351
2954,861,8495
3047,954,8631
3236,1046,8775
2956,897,8357
3066,992,8499
3225,1087,8633
3265,1185,8775
2975,1024,8364
3111,1121,8504
3250,1222,8635
3291,1323,8774
3006,1150,8371
3229,1252,8508
3281,1355,8637
3325,1460,8773
3215,1276,8378
3248,1381,8513
3317,1489,8639
3365,1597,8773
3205,1402,8385
3209,1512,8517
3341,1622,8641
3398,1736,8772
3200,1528,8392
3252,1642,8522
3380,1757,8643
3442,1873,8771
3237,1655,8400
3289,1772,8526
3426,1890,8645
3486,2012,8770
3271,1783,8408
3351,1903,8531
3473,2025,8647
3531,2149,8769
3357,1909,8415
3440,2034,8536
3513,2159,8649
3542,2288,8769
3388,2036,8423
3483,2164,8541
3563,2292,8651
3478,2425,8767
3466,2162,8430
3537,2294,8546
3500,2427,8653
3537,2562,8766
3512,2290,8438
3559,2424,8550
3513,2560,8654
3584,2700,8765
3554,2417,8446
3487,2556,8555
3573,2694,8656
3526,2837,8763
3524,2545,8454
3544,2687,8560
3571,2830,8658
3462,2975,8762
3510,2673,8462
3589,2818,8565
3500,2963,8660
3569,3113,8760
3565,2800,8471
3553,2949,8570
3447,3097,8661
3624,3250,8758
3595,2926,8478
3485,3078,8574
3605,3229,8663
3705,3385,8756
3529,3054,8487
0,3209,8579
3664,3364,8664
3794,3522,8754
3454,3182,8495
3626,3341,8584
3753,3497,8666
3885,3659,8752
3616,3309,8503
3714,3471,8589
3839,3632,8667
3991,3797,8750
3663,3438,8512
3796,3603,8594
3931,3766,8669
4112,3934,8748
3737,3567,8521
3896,3734,8599
4039,3900,8670
0,4071,8746
0,3695,8529
0,3866,8604
0,4033,8672
2970,4206,8743
3189,3822,8537
3098,3996,8609
3022,4165,8673
2959,4342,8741
3128,3951,8546
3055,4126,8613
2989,4300,8674
2923,4478,8738
3087,4079,8555
3018,4257,8618
2957,4433,8675
2893,4615,8736
3053,4208,8563
2985,4390,8624
2925,4569,8677
2874,4752,8733
3010,4339,8572
2953,4522,8629
2904,4703,8678
2839,4889,8731
2969,4468,8581
2926,4654,8634
2878,4836,8679
2824,5025,8728
2942,4596,8590
2901,4784,8638
2846,4968,8680
2806,5159,8725
2914,4725,8599
2867,4916,8643
2827,5103,8681
2790,5294,8722
2885,4854,8607
2842,5047,8648
2808,5236,8682
2763,5431,8719
2863,4984,8616
2822,5179,8653
2771,5369,8683
2677,5566,8716
2833,5114,8625
2780,5312,8658
2681,5504,8684
2586,5702,8714
2798,5245,8634
2691,5444,8663
2605,5638,8686
2494,5837,8711
2726,5375,8643
2622,5576,8668
2514,5771,8686
2399,5972,8707
2646,5503,8652
2542,5707,8672
2425,5903,8687
2332,6107,8704
2574,5635,8661
2462,5839,8677
2347,6038,8688
2264,6242,8701
2508,5765,8669
2381,5972,8682
2292,6171,8689
2215,6377,8698
2428,5895,8678
2319,6103,8687
2235,6305,8690
2174,6513,8695
2359,6027,8687
2266,6237,8692
2198,6440,8691
2130,6647,8692
2305,6159,8697
2223,6369,8696
2155,6573,8692
2082,6783,8689
2257,6289,8705
2173,6502,8701
2117,6706,8693
2048,6917,8685
2212,6421,8714
2145,6634,8706
2075,6838,8693
2007,7050,8682
2175,6551,8723
2113,6765,8710
2033,6972,8694
1967,7183,8678
2139,6682,8731
2072,6897,8714
1998,7105,8694
1920,7319,8675
2117,6814,8740
2034,7031,8719
1963,7238,8695
1886,7452,8671
2073,6947,8749
2000,7163,8724
1920,7372,8696
1846,7586,8668
2035,7078,8757
1960,7297,8729
1880,7505,8696
1816,7720,8665
2006,7210,8766
1928,7429,8733
1853,7639,8697
1787,7854,8662
1979,7343,8774
1899,7562,8737
1819,7772,8698
1759,7987,8658
1944,7476,8783
1859,7696,8742
1790,7905,8698
1730,8121,8655
1911,7608,8791
1827,7829,8746
1768,8039,8699
1716,8255,8652
1885,7742,8800
1810,7963,8751
1751,8173,8700
1698,8388,8648
1857,7876,8808
1785,8095,8755
1734,8306,8700
1680,8520,8645
1832,8008,8817
1769,8230,8760
1716,8439,8701
1659,8654,8642
1803,8141,8825
1749,8363,8764
1690,8573,8702
1647,8787,8638
1796,8276,8833
1732,8496,8768
1683,8705,8702
1626,8920,8635
1777,8409,8841
1719,8630,8772
1659,8838,8702
1602,9052,8632
1769,8544,8849
1708,8763,8776
1644,8972,8703
1591,9185,8628
1755,8677,8857
1691,8896,8780
1620,9104,8703
1579,9318,8625
1730,8811,8865
1669,9031,8784
1612,9237,8704
1563,9449,8622
1718,8946,8873
1652,9164,8788
1595,9371,8704
1552,9581,8619
1696,9080,8880
1635,9299,8792
1585,9504,8705
1549,9714,8616
1684,9214,8887
1611,9432,8796
1576,9636,8705
1536,9846,8613
1671,9350,8895
1603,9566,8800
1562,9770,8706
1531,9977,8609
1658,9484,8902
1600,9701,8804
1566,9902,8706
1532,10109,8607
1650,9619,8909
1592,9834,8807
1556,10036,8707
1524,10240,8604
1646,9755,8917
1593,9968,8811
1552,10168,8707
1512,10372,8601
1635,9890,8923
1584,10103,8815
1552,10300,8707
1506,10503,8598
1636,10025,8930
1581,10236,8818
1548,10434,8708
1499,10634,8595
1624,10162,8937
1584,10370,8821
1541,10566,8708
1483,10765,8592
1627,10297,8944
1576,10505,8825
1541,10699,8708
1494,10896,8589
1622,10434,8951
1583,10639,8828
1539,10832,8709
1485,11027,8587
1623,10569,8957
1577,10773,8831
1529,10964,8709
1483,11158,8584
1624,10705,8963
1568,10909,8835
1530,11096,8710
1490,11288,8581
1615,10841,8969
1572,11043,8838
1535,11230,8710
1496,11419,8579
1619,10978,8976
1577,11177,8841
1538,11362,8710
1496,11550,8577
1620,11115,8981
1572,11312,8844
1537,11494,8711
1492,11680,8574
1630,11252,8987
1573,11447,8847
1532,11627,8711
1492,11809,8572
1629,11389,8993
1571,11582,8850
1527,11759,8712
1490,11940,8570
1628,11525,8998
1574,11716,8853
1533,11892,8712
1495,12070,8568
1635,11663,9004
1578,11851,8856
1535,12024,8713
1495,12199,8566
1631,11800,9009
1580,11985,8858
1538,12156,8713
1497,12330,8564
1640,11937,9014
1581,12121,8861
1535,12288,8714
1500,12459,8562
1646,12075,9019
1591,12255,8863
1553,12421,8714
1511,12588,8560
1653,12212,9024
1595,12391,8866
1556,12553,8714
1514,12718,8558
1661,12350,9029
1599,12526,8869
1559,12686,8715
1531,12847,8557
1677,12488,9033
1615,12660,8871
1580,12818,8716
1535,12976,8555
1685,12625,9037
1626,12795,8873
1579,12950,8716
1548,13106,8554
1699,12763,9041
1638,12930,8875
1595,13081,8716
1558,13235,8552
1708,12902,9046
1657,13065,8878
1607,13214,8717
1567,13363,8551
1729,13040,9050
1673,13201,8880
1627,13346,8717
1579,13493,8550
1748,13178,9053
1694,13336,8882
1642,13479,8718
1596,13622,8549
1764,13317,9057
1652,13470,8884
1659,13611,8719
1596,13751,8548
1759,13455,9060
1724,13605,8886
1672,13742,8719
1617,13879,8547
1800,13592,9063
1745,13741,8888
1683,13874,8720
1629,14008,8546
1820,13732,9067
1764,13876,8889
1705,14007,8720
1651,14136,8546
1838,13870,9070
1792,14011,8891
1733,14138,8721
1663,14265,8545
1871,14009,9072
1811,14147,8893
1754,14271,8722
1693,14393,8545
1896,14148,9075
1831,14282,8894
1769,14402,8722
1722,14522,8545
1922,14287,9077
1846,14418,8896
1790,14534,8723
1739,14650,8544
1950,14425,9080
1873,14553,8897
1810,14665,8723
1757,14778,8544
1982,14565,9082
1898,14688,8899
1835,14798,8724
1780,14905,8544
2013,14703,9084
1924,14823,8900
1857,14929,8725
1803,15034,8544
2042,14842,9086
1952,14959,8901
1881,15062,8726
1824,15162,8545
2082,14982,9088
1995,15094,8902
1914,15193,8727
1846,15289,8545
2127,15121,9089
2027,15230,8904
1947,15324,8728
1880,15418,8545
2178,15259,9090
2072,15365,8905
1990,15455,8728
1917,15546,8546
2225,15398,9091
2119,15500,8905
2025,15588,8729
1946,15673,8547
2273,15539,9093
2169,15635,8906
2077,15719,8730
1993,15802,8548
2328,15677,9093
2222,15771,8907
2128,15850,8731
2041,15929,8548
2388,15818,9094
2268,15906,8908
2179,15983,8732
2074,16056,8550
2392,15957,9095
2330,16042,8909
2224,16114,8733
2125,16185,8551
2380,16096,9095
2374,16177,8909
2274,16245,8734
2170,16312,8552
2377,16234,9095
2408,16312,8910
2336,16378,8735
2226,16439,8553
2368,16375,9095
2401,16447,8910
2406,16508,8736
2276,16567,8555
2365,16513,9095
2397,16583,8911
2425,16640,8737
2343,16694,8557
2349,16652,9095
2388,16718,8911
2425,16772,8738
2414,16822,8558
2347,16793,9095
2386,16854,8912
2420,16903,8739
2452,16950,8560
2349,16931,9094
2384,16989,8912
2423,17034,8740
2463,17077,8562
2343,17072,9094
2385,17124,8912
2431,17166,8742
2455,17204,8564
2349,17211,9093
2385,17259,8912
2428,17297,8743
2458,17332,8567
2349,17350,9092
2392,17395,8913
2432,17428,8744
2461,17459,8569
2351,17489,9090
2393,17530,8912
2437,17561,8746
2467,17586,8572
2351,17629,9089
2400,17665,8912
2439,17691,8747
2476,17714,8575
2373,17768,9088
2410,17801,8913
2444,17822,8748
2479,17841,8577
2384,17906,9086
2411,17936,8912
2456,17955,8750
2485,17968,8580
2396,18046,9085
2434,18070,8912
2457,18086,8751
2495,18096,8583
2382,18185,9083
2440,18206,8912
2471,18216,8752
2503,18223,8586
2426,18324,9081
2453,18341,8912
2489,18349,8754
2520,18350,8589
2050,18464,9079
2435,18476,8912
2497,18480,8755
2530,18477,8593
2458,18603,9077
1932,18611,8911
2518,18610,8757
2548,18606,8596
2478,18741,9074
2084,18746,8911
2343,18742,8759
2560,18732,8600
2481,18881,9072
2469,18881,8910
2007,18873,8760
2582,18861,8604
2427,19020,9069
2533,19016,8910
2031,19004,8761
2555,18988,8608
2536,19159,9067
2561,19151,8909
2110,19136,8763
2058,19115,8611
2561,19298,9064
2527,19286,8909
2592,19267,8765
2088,19243,8616
2583,19436,9061
2608,19421,8908
2640,19398,8767
2142,19370,8620
2609,19574,9058
2641,19556,8908
2613,19529,8768
2677,19497,8624
2654,19714,9055
2670,19690,8907
2692,19661,8770
2720,19625,8628
2682,19852,9051
2701,19826,8906
2736,19792,8772
2703,19753,8633
2658,19990,9048
2517,19960,8905
2765,19924,8774
2782,19881,8638
2520,20129,9045
2552,20094,8905
2785,20055,8776
2814,20008,8642
2553,20267,9041
2573,20230,8904
2611,20186,8778
2854,20136,8647
2576,20405,9037
2607,20364,8903
2594,20317,8780
2752,20264,8652
2609,20544,9033
2634,20498,8902
2659,20449,8782
2693,20391,8657
2641,20681,9029
2659,20634,8901
